ID;token;organizations;itinerary;lat;lgt;distance;duration;weather;roadtype;traffic;circadian;pause;outlayer;timestamp;reload_weather;reload_roadtype;date
1972130;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62443542480469;6.2049102783203125;4760;282;1;0;1;2;0;0;1627981240;0;0;"2021-08-03 10:25:58"
1972131;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62574005126953;6.216193199157715;5590;324;1;0;1;2;0;0;1627981282;0;0;"2021-08-03 10:26:02"
1972132;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62459182739258;6.206432819366455;4880;288;1;0;1;2;0;0;1627981246;0;0;"2021-08-03 10:26:08"
1972133;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62361526489258;6.196934700012207;4190;252;1;0;1;2;0;0;1627981210;0;0;"2021-08-03 10:26:08"
1972134;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62598419189453;6.217657089233398;5700;330;1;0;1;2;0;0;1627981288;0;0;"2021-08-03 10:26:11"
1972135;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.624786376953125;6.208071231842041;5000;294;1;0;1;2;0;0;1627981252;0;0;"2021-08-03 10:26:16"
1972136;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62613296508789;6.21875524520874;5780;336;1;0;1;2;0;0;1627981294;0;0;"2021-08-03 10:26:20"
1972137;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62721633911133;6.2310662269592285;6710;384;1;0;1;2;0;0;1627981342;1;1;"2021-08-03 10:26:23"
1972138;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.624969482421875;6.209731578826904;5130;300;1;0;1;2;0;0;1627981258;0;0;"2021-08-03 10:26:26"
1972139;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.626285552978516;6.22025203704834;5890;342;1;0;1;2;0;0;1627981300;0;0;"2021-08-03 10:26:29"
1972140;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62748718261719;6.23257303237915;6830;390;1;0;1;2;0;0;1627981348;0;0;"2021-08-03 10:26:33"
1972141;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62515640258789;6.211472034454346;5260;306;1;0;1;2;0;0;1627981264;0;0;"2021-08-03 10:26:35"
1972142;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.6264762878418;6.221704006195068;6000;348;1;0;1;2;0;0;1627981306;0;0;"2021-08-03 10:26:38"
1972143;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.628013610839844;6.233940124511719;6950;396;1;0;1;2;0;0;1627981354;0;0;"2021-08-03 10:26:42"
1972144;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62535858154297;6.213185787200928;5390;312;1;0;1;2;0;0;1627981270;0;0;"2021-08-03 10:26:44"
1972145;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.626670837402344;6.223291873931885;6120;354;1;0;1;2;0;0;1627981312;0;0;"2021-08-03 10:26:48"
1972146;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.6286735534668;6.235239028930664;7070;402;1;0;1;2;0;0;1627981360;0;0;"2021-08-03 10:26:51"
1972147;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.63315200805664;6.244729042053223;7940;444;1;0;1;2;0;0;1627981402;1;1;"2021-08-03 10:26:53"
1972148;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.626853942871094;6.224849700927734;6240;360;1;0;1;2;0;0;1627981318;0;0;"2021-08-03 10:26:57"
1972149;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62930679321289;6.2366108894348145;7190;408;1;0;1;2;0;0;1627981366;0;0;"2021-08-03 10:27:01"
1972150;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.63381576538086;6.2458648681640625;8050;450;1;0;1;2;0;0;1627981408;0;0;"2021-08-03 10:27:03"
1972151;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.627017974853516;6.226430416107178;6360;366;1;0;1;2;0;0;1627981324;0;0;"2021-08-03 10:27:07"
1972152;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.629730224609375;6.238117694854736;7310;414;1;0;1;2;0;0;1627981372;0;0;"2021-08-03 10:27:10"
