	RR	Timestamp	SensorContact	errorEstimate	blockerBit	gap
347	887	1,62677E+12	-1	-1	-1	989
348	903	1,62677E+12	-1	-1	-1	1020
349	879	1,62677E+12	-1	-1	-1	995
350	879	1,62677E+12	-1	-1	-1	985
351	631	1,62677E+12	-1	-1	-1	0
352	1000	1,62677E+12	-1	-1	-1	1021
353	943	1,62677E+12	-1	-1	-1	990
354	855	1,62677E+12	-1	-1	-1	989
355	855	1,62677E+12	-1	-1	-1	1021
356	879	1,62677E+12	-1	-1	-1	989
357	863	1,62677E+12	-1	-1	-1	990
358	863	1,62677E+12	-1	-1	-1	1021
359	895	1,62677E+12	-1	-1	-1	991
360	855	1,62677E+12	-1	-1	-1	0
361	911	1,62677E+12	-1	-1	-1	990
362	951	1,62677E+12	-1	-1	-1	1018
363	871	1,62677E+12	-1	-1	-1	990
364	919	1,62677E+12	-1	-1	-1	991
365	903	1,62677E+12	-1	-1	-1	1022
366	879	1,62677E+12	-1	-1	-1	987
367	895	1,62677E+12	-1	-1	-1	992
368	903	1,62677E+12	-1	-1	-1	1019
369	879	1,62677E+12	-1	-1	-1	0
370	903	1,62677E+12	-1	-1	-1	990
371	911	1,62677E+12	-1	-1	-1	990
372	871	1,62677E+12	-1	-1	-1	990
373	879	1,62677E+12	-1	-1	-1	1021
374	903	1,62677E+12	-1	-1	-1	989
375	871	1,62677E+12	-1	-1	-1	990
376	887	1,62677E+12	-1	-1	-1	1020
377	863	1,62677E+12	-1	-1	-1	990
378	887	1,62677E+12	-1	-1	-1	0
379	895	1,62677E+12	-1	-1	-1	1022
380	879	1,62677E+12	-1	-1	-1	989
381	911	1,62677E+12	-1	-1	-1	989
382	919	1,62677E+12	-1	-1	-1	990
383	903	1,62677E+12	-1	-1	-1	1023
384	911	1,62677E+12	-1	-1	-1	987
385	935	1,62677E+12	-1	-1	-1	990
386	919	1,62677E+12	-1	-1	-1	1021
387	903	1,62677E+12	-1	-1	-1	989
388	911	1,62677E+12	-1	-1	-1	990
389	887	1,62677E+12	-1	-1	-1	0
390	895	1,62677E+12	-1	-1	-1	1021
391	839	1,62677E+12	-1	-1	-1	991
392	799	1,62677E+12	-1	-1	-1	1019
393	807	1,62677E+12	-1	-1	-1	989
394	783	1,62677E+12	-1	-1	-1	990
395	807	1,62677E+12	-1	-1	-1	0
396	831	1,62677E+12	-1	-1	-1	991
397	823	1,62677E+12	-1	-1	-1	1020
398	879	1,62677E+12	-1	-1	-1	990
399	871	1,62677E+12	-1	-1	-1	992
400	903	1,62677E+12	-1	-1	-1	1020
401	903	1,62677E+12	-1	-1	-1	988
402	879	1,62677E+12	-1	-1	-1	0
403	895	1,62677E+12	-1	-1	-1	992
404	911	1,62677E+12	-1	-1	-1	1018
405	671	1,62677E+12	-1	-1	-1	990
406	1119	1,62677E+12	-1	-1	-1	990
407	863	1,62677E+12	-1	-1	-1	1020
408	911	1,62677E+12	-1	-1	-1	990
409	879	1,62677E+12	-1	-1	-1	991
410	871	1,62677E+12	-1	-1	-1	1019
411	887	1,62677E+12	-1	-1	-1	990
412	871	1,62677E+12	-1	-1	-1	0
413	879	1,62677E+12	-1	-1	-1	991
414	903	1,62677E+12	-1	-1	-1	1021
415	895	1,62677E+12	-1	-1	-1	988
416	895	1,62677E+12	-1	-1	-1	991
417	871	1,62677E+12	-1	-1	-1	1020
418	863	1,62677E+12	-1	-1	-1	990
419	863	1,62677E+12	-1	-1	-1	990
420	855	1,62677E+12	-1	-1	-1	0
421	847	1,62677E+12	-1	-1	-1	1020
422	871	1,62677E+12	-1	-1	-1	989
423	903	1,62677E+12	-1	-1	-1	992
424	863	1,62677E+12	-1	-1	-1	1018
425	895	1,62677E+12	-1	-1	-1	990
426	935	1,62677E+12	-1	-1	-1	993
427	871	1,62677E+12	-1	-1	-1	1018
428	903	1,62677E+12	-1	-1	-1	990
429	863	1,62677E+12	-1	-1	-1	2010
430	839	1,62677E+12	-1	-1	-1	990
431	879	1,62677E+12	-1	-1	-1	990
432	911	1,62677E+12	-1	-1	-1	1020
433	919	1,62677E+12	-1	-1	-1	991
434	951	1,62677E+12	-1	-1	-1	989
435	943	1,62677E+12	-1	-1	-1	1021
436	959	1,62677E+12	-1	-1	-1	989
437	903	1,62677E+12	-1	-1	-1	0
438	943	1,62677E+12	-1	-1	-1	991
439	943	1,62677E+12	-1	-1	-1	1020
440	927	1,62677E+12	-1	-1	-1	990
441	983	1,62677E+12	-1	-1	-1	991
442	975	1,62677E+12	-1	-1	-1	1018
443	959	1,62677E+12	-1	-1	-1	990
444	911	1,62677E+12	-1	-1	-1	992
445	927	1,62677E+12	-1	-1	-1	1019
446	903	1,62677E+12	-1	-1	-1	989
447	919	1,62677E+12	-1	-1	-1	991
448	927	1,62677E+12	-1	-1	-1	1020
449	879	1,62677E+12	-1	-1	-1	990
450	879	1,62677E+12	-1	-1	-1	989
451	887	1,62677E+12	-1	-1	-1	0
452	807	1,62677E+12	-1	-1	-1	3001
453	807	1,62677E+12	-1	-1	-1	1020
454	807	1,62677E+12	-1	-1	-1	989
455	807	1,62677E+12	-1	-1	-1	0
456	839	1,62677E+12	-1	-1	-1	991
457	823	1,62677E+12	-1	-1	-1	1020
458	831	1,62677E+12	-1	-1	-1	991
459	839	1,62677E+12	-1	-1	-1	989
460	887	1,62677E+12	-1	-1	-1	1021
461	863	1,62677E+12	-1	-1	-1	2010
462	871	1,62677E+12	-1	-1	-1	989
463	935	1,62677E+12	-1	-1	-1	990
464	919	1,62677E+12	-1	-1	-1	991
465	903	1,62677E+12	-1	-1	-1	3001
466	871	1,62677E+12	-1	-1	-1	0
467	903	1,62677E+12	-1	-1	-1	1018
468	887	1,62677E+12	-1	-1	-1	990
469	879	1,62677E+12	-1	-1	-1	991
470	903	1,62677E+12	-1	-1	-1	1020
471	927	1,62677E+12	-1	-1	-1	990
472	879	1,62677E+12	-1	-1	-1	989
473	895	1,62677E+12	-1	-1	-1	1022
474	919	1,62677E+12	-1	-1	-1	989
475	887	1,62677E+12	-1	-1	-1	989
476	887	1,62677E+12	-1	-1	-1	0
477	935	1,62677E+12	-1	-1	-1	1021
478	879	1,62677E+12	-1	-1	-1	989
479	911	1,62677E+12	-1	-1	-1	991
480	935	1,62677E+12	-1	-1	-1	1020
481	879	1,62677E+12	-1	-1	-1	991
482	895	1,62677E+12	-1	-1	-1	990
483	911	1,62677E+12	-1	-1	-1	1020
484	903	1,62677E+12	-1	-1	-1	989
485	887	1,62677E+12	-1	-1	-1	990
486	903	1,62677E+12	-1	-1	-1	0
487	903	1,62677E+12	-1	-1	-1	3000
488	919	1,62677E+12	-1	-1	-1	1020
489	887	1,62677E+12	-1	-1	-1	990
490	951	1,62677E+12	-1	-1	-1	990
491	935	1,62677E+12	-1	-1	-1	1021
492	1000	1,62677E+12	-1	-1	-1	3989
