	RR	Timestamp	écart		moyenne	min	max	mode	écart-type	durée	somme RR	max écart tmsp	écart-type tmsp	25e centile	50e centile	75e centile	RR/durée	durée (min)	état	deconnexion
301	1269	1623388613085	991	11/06/2021 07:16																
302	426	1623388613085	0	11/06/2021 07:16																
303	506	1623388614046	961	11/06/2021 07:16																
304	532	1623388614046	0	11/06/2021 07:16																
305	559	1623388615037	991	11/06/2021 07:16																
306	630	1623388615037	0	11/06/2021 07:16																
307	527	1623388615996	959	11/06/2021 07:16																
308	627	1623388616986	990	11/06/2021 07:16																
309	547	1623388616986	0	11/06/2021 07:16																
310	563	1623388617976	990	11/06/2021 07:16																
311	577	1623388617976	0	11/06/2021 07:16																
312	561	1623388618938	962	11/06/2021 07:16																
313	606	1623388619926	988	11/06/2021 07:17																
314	585	1623388619926	0	11/06/2021 07:17																
315	559	1623388620886	960	11/06/2021 07:17																
316	542	1623388620886	0	11/06/2021 07:17																
317	621	1623388621876	990	11/06/2021 07:17																
318	1244	1623388622866	990	11/06/2021 07:17																
319	1100	1623388623826	960	11/06/2021 07:17																
320	577	1623388624816	990	11/06/2021 07:17																
321	568	1623388624816	0	11/06/2021 07:17																
322	654	1623388625806	990	11/06/2021 07:17																
323	691	1623388626768	962	11/06/2021 07:17																
324	1541	1623388627756	988	11/06/2021 07:17																
325	1223	1623388629705	1949	11/06/2021 07:17																
326	626	1623388629706	1	11/06/2021 07:17																
327	646	1623388630696	990	11/06/2021 07:17																
328	494	1623388630696	0	11/06/2021 07:17																
329	671	1623388631656	960	11/06/2021 07:17																
330	931	1623388632645	989	11/06/2021 07:17																
331	702	1623388633634	989	11/06/2021 07:17																
332	467	1623388633634	0	11/06/2021 07:17																
333	1075	1623388634595	961	11/06/2021 07:17																
334	594	1623388635585	990	11/06/2021 07:17																
335	584	1623388636545	960	11/06/2021 07:17																
336	521	1623388636546	1	11/06/2021 07:17																
337	705	1623388637535	989	11/06/2021 07:17																
338	1772	1623388639486	1951	11/06/2021 07:17																
339	1142	1623388640476	990	11/06/2021 07:17																
340	560	1623388640476	0	11/06/2021 07:17																
341	1142	1623388642426	1950	11/06/2021 07:17																
342	590	1623388642426	0	11/06/2021 07:17																
343	605	1623388643415	989	11/06/2021 07:17																
344	602	1623388643415	0	11/06/2021 07:17																
345	556	1623388644376	961	11/06/2021 07:17																
346	519	1623388644376	0	11/06/2021 07:17																
347	685	1623388645365	989	11/06/2021 07:17																
348	619	1623388646354	989	11/06/2021 07:17																
349	577	1623388646354	0	11/06/2021 07:17																
350	552	1623388647315	961	11/06/2021 07:17																
351	578	1623388648304	989	11/06/2021 07:17																
352	567	1623388648304	0	11/06/2021 07:17																
353	1105	1623388649263	959	11/06/2021 07:17																
354	1182	1623388651243	1980	11/06/2021 07:17																
355	515	1623388651243	0	11/06/2021 07:17																
356	605	1623388652204	961	11/06/2021 07:17																
357	563	1623388652204	0	11/06/2021 07:17																
358	524	1623388653193	989	11/06/2021 07:17																
359	682	1623388653193	0	11/06/2021 07:17																
360	562	1623388654183	990	11/06/2021 07:17																
361	524	1623388655143	960	11/06/2021 07:17																
362	579	1623388655143	0	11/06/2021 07:17																
363	631	1623388656133	990	11/06/2021 07:17																
364	602	1623388656133	0	11/06/2021 07:17																
365	563	1623388657094	961	11/06/2021 07:17																
366	610	1623388658083	989	11/06/2021 07:17																
367	599	1623388658083	0	11/06/2021 07:17																
368	600	1623388659074	991	11/06/2021 07:17																
369	609	1623388660033	959	11/06/2021 07:17																
370	596	1623388660033	0	11/06/2021 07:17																
371	677	1623388661026	993	11/06/2021 07:17																
372	465	1623388661983	957	11/06/2021 07:17																
373	1232	1623388661983	0	11/06/2021 07:17																
374	515	1623388662976	993	11/06/2021 07:17																
375	1225	1623388663964	988	11/06/2021 07:17																
376	619	1623388664926	962	11/06/2021 07:17																
377	776	1623388665915	989	11/06/2021 07:17																
378	826	1623388666905	990	11/06/2021 07:17																
379	607	1623388666906	1	11/06/2021 07:17																
380	615	1623388667865	959	11/06/2021 07:17																
381	1014	1623388668855	990	11/06/2021 07:17																
382	1239	1623388669815	960	11/06/2021 07:17																
383	597	1623388670803	988	11/06/2021 07:17																
384	642	1623388670803	0	11/06/2021 07:17																
385	569	1623388671796	993	11/06/2021 07:17																
386	545	1623388671796	0	11/06/2021 07:17																
387	609	1623388672756	960	11/06/2021 07:17																
388	579	1623388673747	991	11/06/2021 07:17																
389	608	1623388673747	0	11/06/2021 07:17																
390	593	1623388674737	990	11/06/2021 07:17																
391	470	1623388674737	0	11/06/2021 07:17																
